timeindex,wind-profile-LA,pv-profile-LA,wind-profile-KH,pv-profile-KH,wind-profile-MM,pv-profile-MM,wind-profile-TH,pv-profile-TH,wind-profile-VN,pv-profile-VN
2050-01-05T16:00:00Z,0.144,0,0.07,0,0.179,0,0.073,0,0.093,0
2050-01-05T17:00:00Z,0.115,0,0.101,0,0.123,0,0.041,0,0.097,0
2050-01-05T18:00:00Z,0.079,0,0.112,0,0.083,0,0.019,0,0.092,0
2050-01-05T19:00:00Z,0.059,0,0.119,0,0.062,0,0.011,0,0.093,0
2050-01-05T20:00:00Z,0.041,0,0.13,0,0.059,0,0.014,0,0.1,0
2050-01-05T21:00:00Z,0.031,0,0.13,0,0.064,0,0.034,0,0.111,0
2050-01-05T22:00:00Z,0.027,0,0.123,0,0.07,0,0.077,0,0.115,0
2050-01-05T23:00:00Z,0.024,0,0.106,0.013,0.076,0,0.144,0,0.103,0.041
2050-01-06T00:00:00Z,0.013,0.139,0.067,0.203,0.068,0.082,0.16,0.133,0.154,0.239
2050-01-06T01:00:00Z,0,0.371,0.093,0.417,0.021,0.339,0.056,0.355,0.223,0.503
2050-01-06T02:00:00Z,0.037,0.531,0.055,0.574,0.005,0.534,0.026,0.528,0.209,0.653
2050-01-06T03:00:00Z,0.075,0.686,0.02,0.694,0,0.664,0.005,0.628,0.199,0.736
2050-01-06T04:00:00Z,0.105,0.746,0.012,0.731,0,0.733,0,0.688,0.202,0.765
2050-01-06T05:00:00Z,0.135,0.753,0.01,0.723,0.001,0.755,0,0.7,0.22,0.748
2050-01-06T06:00:00Z,0.157,0.709,0.01,0.666,0.001,0.728,0,0.656,0.252,0.687
2050-01-06T07:00:00Z,0.157,0.61,0.016,0.563,0.001,0.659,0,0.568,0.301,0.575
2050-01-06T08:00:00Z,0.132,0.453,0.031,0.406,0.001,0.539,0,0.426,0.348,0.406
2050-01-06T09:00:00Z,0.074,0.23,0.045,0.199,0.002,0.36,0,0.23,0.334,0.177
2050-01-06T10:00:00Z,0.046,0.015,0.043,0.018,0.009,0.121,0,0.046,0.294,0.003
2050-01-06T11:00:00Z,0.047,0,0.076,0,0.059,0,0,0,0.28,0
2050-01-06T12:00:00Z,0.07,0,0.089,0,0.169,0,0.001,0,0.254,0
2050-01-06T13:00:00Z,0.131,0,0.068,0,0.285,0,0.002,0,0.193,0
2050-01-06T14:00:00Z,0.184,0,0.038,0,0.33,0,0.001,0,0.168,0
2050-01-06T15:00:00Z,0.175,0,0.029,0,0.274,0,0.001,0,0.149,0
2050-01-06T16:00:00Z,0.144,0,0.05,0,0.203,0,0,0,0.141,0
2050-01-06T17:00:00Z,0.118,0,0.12,0,0.149,0,0,0,0.121,0
2050-01-06T18:00:00Z,0.103,0,0.135,0,0.112,0,0,0,0.084,0
2050-01-06T19:00:00Z,0.092,0,0.163,0,0.089,0,0,0,0.073,0
2050-01-06T20:00:00Z,0.095,0,0.196,0,0.077,0,0,0,0.072,0
2050-01-06T21:00:00Z,0.094,0,0.175,0,0.072,0,0,0,0.059,0
2050-01-06T22:00:00Z,0.083,0,0.136,0,0.076,0,0,0,0.055,0
2050-01-06T23:00:00Z,0.069,0,0.104,0.016,0.08,0,0,0,0.038,0.065
2050-01-07T00:00:00Z,0.051,0.184,0.053,0.225,0.076,0.088,0,0.132,0.018,0.289
2050-01-07T01:00:00Z,0.003,0.424,0.085,0.441,0.018,0.349,0,0.351,0.043,0.454
2050-01-07T02:00:00Z,0.101,0.595,0.049,0.596,0.01,0.541,0,0.522,0.049,0.533
2050-01-07T03:00:00Z,0.141,0.696,0.023,0.683,0,0.669,0,0.619,0.059,0.589
2050-01-07T04:00:00Z,0.145,0.742,0.013,0.699,0,0.737,0,0.678,0.073,0.616
2050-01-07T05:00:00Z,0.145,0.744,0.013,0.672,0,0.76,0,0.688,0.089,0.648
